epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0211,1.28687,4.31295,1.53256,0.65853,0.18425,0.17848,0.12874,1.06483,3.67281,1.51427,7.9027e-05,7.9027e-05,7.9027e-05
2,121.098,1.27799,3.21722,1.51846,0.58053,0.27539,0.27365,0.19485,1.09889,3.49254,1.55562,0.000155225,0.000155225,0.000155225
3,173.004,1.2817,2.75008,1.52124,0.50652,0.3195,0.27565,0.1915,1.12241,3.60765,1.58568,0.000228281,0.000228281,0.000228281
4,225.48,1.24283,2.45413,1.48882,0.4676,0.29789,0.28666,0.20831,1.11822,3.50735,1.60142,0.000223863,0.000223863,0.000223863
5,279.545,1.20893,2.18711,1.45127,0.53558,0.31954,0.29016,0.21824,1.11221,3.47573,1.59687,0.00021915,0.00021915,0.00021915
6,330.4,1.18324,2.04247,1.4238,0.62957,0.31861,0.3455,0.25835,1.10626,3.45202,1.56649,0.000214438,0.000214438,0.000214438
7,380.472,1.15108,1.9434,1.41375,0.5513,0.30377,0.32181,0.24027,1.10475,3.46009,1.58302,0.000209726,0.000209726,0.000209726
8,429.99,1.14001,1.82233,1.39318,0.42327,0.38704,0.31145,0.23064,1.15337,3.51615,1.61424,0.000205013,0.000205013,0.000205013
9,476.724,1.1249,1.74858,1.3901,0.49632,0.37435,0.32243,0.23118,1.1763,3.47009,1.61359,0.000200301,0.000200301,0.000200301
10,523.294,1.09432,1.65054,1.36893,0.49238,0.33941,0.31205,0.23849,1.12435,3.59302,1.60149,0.000195588,0.000195588,0.000195588
11,569.832,1.06951,1.58811,1.35579,0.54964,0.31117,0.33558,0.2473,1.16358,3.41146,1.61099,0.000190876,0.000190876,0.000190876
12,616.652,1.05851,1.53311,1.34215,0.5255,0.3376,0.32181,0.24089,1.16179,3.47464,1.60315,0.000186164,0.000186164,0.000186164
13,663.477,1.03404,1.46666,1.32486,0.50655,0.36394,0.35372,0.26967,1.20112,3.4518,1.63633,0.000181451,0.000181451,0.000181451
14,710.297,1.03497,1.43173,1.31159,0.5787,0.37423,0.33206,0.25128,1.21416,3.40347,1.66728,0.000176739,0.000176739,0.000176739
15,757.057,1.01295,1.39945,1.30537,0.60205,0.32193,0.38383,0.283,1.22793,3.44801,1.66244,0.000172026,0.000172026,0.000172026
16,804.179,1.01817,1.36381,1.30658,0.58518,0.3115,0.37142,0.29081,1.18119,3.44552,1.61895,0.000167314,0.000167314,0.000167314
17,850.729,0.99763,1.31027,1.2869,0.80467,0.312,0.34655,0.26187,1.20486,3.41823,1.65674,0.000162602,0.000162602,0.000162602
18,897.491,0.98055,1.26261,1.28145,0.53429,0.37627,0.38259,0.27561,1.22648,3.39847,1.67787,0.000157889,0.000157889,0.000157889
19,944.145,0.97361,1.24866,1.2785,0.68336,0.34938,0.36389,0.26684,1.25576,3.48148,1.69649,0.000153177,0.000153177,0.000153177
20,990.929,0.958,1.21179,1.26474,0.6407,0.33628,0.3435,0.25162,1.23964,3.47775,1.70759,0.000148464,0.000148464,0.000148464
21,1038.04,0.96455,1.19716,1.26819,0.46605,0.38204,0.3597,0.26436,1.23346,3.32539,1.7165,0.000143752,0.000143752,0.000143752
22,1084.92,0.94031,1.14048,1.25349,0.61559,0.34392,0.34206,0.25027,1.21201,3.41405,1.6875,0.00013904,0.00013904,0.00013904
23,1131.85,0.93787,1.13922,1.2501,0.65025,0.3197,0.33485,0.24913,1.21482,3.41072,1.65719,0.000134327,0.000134327,0.000134327
24,1178.77,0.92239,1.10191,1.23166,0.64932,0.31652,0.36659,0.26613,1.22965,3.394,1.69281,0.000129615,0.000129615,0.000129615
25,1225.75,0.90635,1.08218,1.22527,0.63859,0.35355,0.35433,0.26267,1.25898,3.39529,1.70115,0.000124902,0.000124902,0.000124902
26,1272.84,0.90958,1.07246,1.22643,0.60038,0.32593,0.37174,0.27034,1.27624,3.47101,1.72229,0.00012019,0.00012019,0.00012019
